STATE,MAILCODE,NOEXCH,HOMEOWNR,GENDER,DATASRCE,PETS,LIFESRC,PEPSTRFL,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
CA,A,0,H,F,2,N,1,No,L,F,B,T,2
IL,A,0,H,F,3,N,0,X,L,E,A,R,3
other,A,0,U,F,0,N,0,X,L,E,B,C,2
CA,A,0,U,F,0,N,0,No,L,G,A,S,1
TX,A,0,H,M,3,N,0,No,L,F,D,T,2
TX,A,0,H,F,2,Y,2,No,L,F,D,T,3
CA,A,0,H,F,2,N,0,No,L,G,A,S,1
CA,A,0,U,M,1,N,3,No,L,F,A,U,3
other,A,0,H,M,3,N,0,No,L,F,B,U,4
other,A,0,U,F,0,N,0,No,L,E,C,S,2
MI,A,0,H,F,3,N,2,No,L,E,A,C,2
TX,A,0,H,F,3,Y,2,X,L,G,B,C,3
CA,A,0,U,F,0,N,0,X,L,F,B,U,1
NC,A,0,U,M,0,N,2,X,L,G,D,T,2
other,A,0,H,M,3,N,0,No,L,E,B,S,2
CA,A,0,U,F,0,N,0,X,L,F,A,U,1
other,A,0,U,F,0,N,0,No,L,F,B,T,2
CA,A,0,H,F,3,Y,3,X,L,F,A,S,2
CA,A,0,H,F,2,N,0,No,L,F,A,U,1
other,A,0,H,F,2,N,3,No,L,F,C,S,2
WA,A,0,H,F,2,Y,3,X,L,D,C,T,2
other,A,0,H,M,3,N,1,X,L,F,D,R,2
other,A,0,U,M,0,N,0,No,L,F,B,R,2
CA,A,0,U,F,0,N,0,No,L,F,B,U,4
TX,A,0,H,F,3,N,3,X,L,D,A,S,1
other,A,0,U,F,0,N,0,No,L,G,D,T,2
FL,A,0,U,M,3,N,2,X,L,F,D,R,2
other,A,0,U,F,3,N,0,X,L,E,B,R,2
CA,A,0,H,F,2,N,0,No,L,F,A,T,2
TX,A,0,U,F,0,N,0,No,L,G,A,C,2
GA,A,0,U,F,2,Y,3,X,L,F,D,T,2
IN,A,0,U,F,0,N,0,X,L,F,D,R,2
TX,A,0,H,F,3,N,2,No,L,E,B,C,1
FL,A,0,U,F,0,N,0,X,L,D,A,U,4
CA,A,0,H,M,2,N,2,X,L,F,A,C,1
TX,A,0,U,F,2,Y,3,X,L,E,D,R,3
other,A,0,H,F,2,Y,2,X,L,E,C,R,3
FL,B,0,U,F,0,N,0,X,L,F,C,C,2
TX,A,0,H,F,3,N,0,No,L,F,A,S,2
IL,A,0,H,M,3,N,2,X,L,F,A,T,2
other,A,0,U,M,2,N,0,X,L,G,D,R,2
other,A,0,U,F,3,N,0,No,L,F,D,T,2
IL,A,0,H,F,1,N,0,No,L,G,A,S,2
other,A,0,U,M,3,N,2,No,L,D,D,T,2
other,A,0,H,F,3,N,2,No,L,G,D,T,2
TX,A,0,H,F,3,N,0,No,L,G,A,S,1
other,A,0,H,M,3,N,2,No,L,G,C,C,1
FL,A,0,U,M,0,N,0,X,L,D,A,C,2
FL,A,0,U,F,1,N,0,No,L,G,B,C,3
WI,A,0,U,F,0,N,0,No,L,F,B,R,2
WI,A,0,H,M,3,Y,2,No,L,F,B,S,1
other,A,0,U,M,3,N,0,No,L,E,B,T,2
MI,A,0,U,F,1,N,0,X,L,G,D,R,3
MI,B,0,H,F,3,N,0,No,L,F,C,C,3
FL,A,0,H,M,3,N,0,No,L,G,A,C,3
CA,A,0,H,F,3,Y,3,No,L,F,A,C,1
CA,A,0,U,F,2,N,3,No,L,G,A,C,2
CA,A,0,H,M,2,N,0,X,L,E,B,R,2
CA,A,0,U,M,3,N,2,No,L,F,A,T,2
other,A,0,H,other,3,Y,3,X,L,E,C,T,3
other,B,0,U,M,2,N,0,X,L,F,B,T,2
other,A,0,H,M,2,N,0,X,L,F,D,R,3
CA,A,0,U,M,0,N,0,No,L,F,B,T,3
IL,A,0,H,M,3,N,0,X,L,F,A,C,1
other,A,0,U,M,3,N,0,X,L,D,C,R,2
other,A,0,U,F,2,N,0,X,L,F,D,R,2
MO,A,0,H,F,3,Y,3,X,L,F,B,C,3
MO,A,0,U,M,0,N,0,X,L,F,B,U,3
IL,A,0,U,M,0,N,0,No,L,G,A,S,1
FL,A,0,H,F,2,N,1,No,L,F,A,U,4
CA,A,0,H,F,3,N,0,X,L,F,A,R,1
other,A,0,U,F,0,N,1,X,L,F,B,S,1
FL,A,0,H,F,3,N,0,X,L,G,C,C,2
FL,A,0,H,M,3,N,0,No,L,G,B,C,2
other,A,0,H,other,3,N,0,X,L,E,B,T,2
CA,A,0,U,M,0,N,0,X,L,F,A,T,1
WA,A,0,U,F,3,N,0,X,L,D,C,C,2
FL,A,0,H,M,3,N,0,No,L,F,B,C,1
other,A,0,U,M,0,N,0,No,L,F,C,T,3
GA,A,0,H,F,2,N,1,X,L,E,A,C,1
FL,A,0,H,F,3,N,0,X,L,G,B,C,2
CA,A,0,H,F,3,N,0,No,L,F,B,T,1
WA,A,0,U,F,0,N,0,X,L,E,A,T,2
MI,A,0,H,F,3,N,2,X,L,E,A,C,2
MI,A,0,H,M,3,N,0,X,L,D,A,S,2
IL,A,0,U,F,0,N,0,X,L,F,A,R,3
other,A,0,H,F,2,N,0,X,L,F,B,S,3
MI,A,0,U,M,1,N,3,X,L,F,A,S,2
TX,A,0,U,M,1,N,0,X,L,E,A,U,1
other,A,0,U,F,0,N,0,No,L,F,B,U,4
WI,A,0,U,M,3,N,0,X,L,E,C,R,2
FL,A,0,U,F,0,N,0,No,L,D,B,S,2
CA,A,0,H,F,3,N,0,X,L,G,A,U,2
CA,A,0,U,F,0,N,0,No,L,G,A,S,1
other,A,0,H,F,3,Y,3,X,L,E,C,T,2
FL,A,0,H,F,2,N,0,No,L,F,B,T,1
WI,A,0,H,F,2,N,0,No,L,F,B,S,1
other,A,0,U,other,2,Y,2,No,L,F,D,T,2
CA,A,0,H,M,2,N,1,No,L,G,A,S,1
other,A,0,H,F,3,N,0,X,L,G,A,S,2
CA,A,0,H,M,3,N,2,No,L,G,A,C,1
FL,A,0,H,other,3,N,0,X,L,G,A,S,2
other,A,0,H,M,3,N,0,X,L,F,C,R,2
TX,A,0,U,F,3,N,2,X,L,D,C,C,2
WI,A,0,U,M,0,N,0,No,L,G,B,T,1
CA,A,0,U,F,0,N,0,No,L,E,A,U,1
CA,A,0,H,F,1,N,1,X,L,F,A,S,1
CA,A,0,H,F,3,Y,2,X,L,F,B,S,2
other,A,0,U,M,0,N,0,X,L,G,A,T,3
CA,A,0,U,F,0,N,0,No,L,F,D,R,2
FL,A,0,H,F,2,N,0,X,L,E,A,U,4
MO,A,0,H,M,3,Y,2,X,L,F,B,T,2
CA,A,0,U,M,0,N,0,No,L,F,A,U,3
IL,A,0,H,F,3,N,3,No,L,F,A,S,1
TX,A,0,U,M,0,N,0,X,L,G,A,C,3
FL,A,0,U,M,0,Y,2,No,L,F,A,R,3
GA,A,0,U,F,0,N,0,X,L,E,A,C,2
CA,A,0,H,F,3,N,0,X,L,E,B,T,3
other,A,0,U,M,2,N,0,No,L,F,D,T,2
other,A,0,H,F,3,N,1,No,L,F,B,S,2
other,A,0,U,M,1,N,0,X,L,F,C,C,2
other,A,0,H,M,3,Y,2,X,L,D,D,T,1
CA,A,0,U,F,2,N,0,No,L,F,A,T,2
CA,A,0,U,M,2,N,2,No,L,F,A,S,1
GA,A,0,U,M,0,N,0,No,L,E,A,C,1
CA,A,0,U,F,0,N,0,No,L,G,A,U,1
other,A,0,U,F,3,N,0,X,L,F,C,T,2
FL,A,0,H,M,3,N,2,X,L,F,C,C,2
NC,A,0,H,M,2,N,1,No,L,F,B,S,1
IN,A,0,U,M,3,N,0,No,L,G,D,T,3
CA,A,0,U,F,0,N,1,No,L,G,A,S,2
other,A,0,U,F,0,N,0,No,L,E,D,R,2
CA,A,0,H,F,2,N,1,X,L,G,A,S,1
NC,A,0,U,other,2,N,0,X,L,G,C,C,2
other,A,0,H,F,3,N,0,X,L,F,A,S,1
IL,A,0,H,F,3,N,0,X,L,D,A,U,1
other,A,0,H,M,1,Y,3,X,L,F,C,R,2
other,A,0,U,F,0,N,0,X,L,F,B,C,1
WA,A,0,H,F,2,N,0,No,L,G,C,R,2
IN,A,0,U,F,0,N,0,No,L,E,B,S,2
NC,A,0,U,F,0,N,0,X,L,G,C,C,2
other,A,0,U,F,2,N,1,No,L,F,D,R,3
CA,A,0,U,F,0,N,0,No,L,F,B,R,2
IN,A,0,U,M,0,N,0,No,L,F,B,T,2
other,A,0,H,F,2,Y,3,No,L,F,A,U,4
MO,A,0,H,M,1,N,1,X,L,F,A,S,1
other,A,0,H,F,2,Y,3,No,L,F,B,T,2
other,A,0,H,M,3,N,0,No,L,F,C,C,1
IL,A,0,U,M,3,N,0,No,L,E,A,U,1
TX,A,0,U,F,0,N,0,X,L,E,D,R,2
NC,A,0,H,M,3,N,2,No,L,F,B,T,3
CA,A,0,U,F,0,N,0,X,L,E,A,S,2
other,A,0,H,F,3,N,1,X,L,F,B,C,2
FL,A,0,U,F,0,N,0,X,L,D,B,U,3
other,A,0,U,M,0,N,0,X,L,D,B,S,1
CA,A,0,H,F,3,Y,2,X,L,E,A,U,2
FL,A,0,H,F,2,Y,2,No,L,G,A,U,3
MI,A,0,U,F,3,N,0,X,L,E,C,R,2
other,A,0,U,F,2,N,1,X,L,E,D,R,2
other,A,0,U,F,0,N,0,X,L,F,A,R,2
GA,A,0,U,M,0,N,0,X,L,G,C,C,1
CA,A,0,U,other,2,N,2,X,L,D,B,C,3
FL,A,0,U,F,1,Y,3,X,L,F,A,T,3
TX,A,0,U,F,1,N,2,No,L,F,C,C,1
CA,A,0,U,F,2,N,0,No,L,F,A,S,1
WA,A,0,H,M,3,N,0,No,L,F,A,S,1
FL,A,0,U,M,2,N,0,No,L,F,A,T,2
TX,A,0,H,F,2,N,0,X,L,D,B,R,2
TX,A,0,H,F,3,N,0,X,L,E,B,C,3
CA,A,0,H,M,3,N,0,X,L,D,B,S,2
NC,A,0,H,F,3,Y,2,X,L,F,B,C,2
CA,A,0,U,F,0,N,0,X,L,F,A,U,3
CA,A,0,H,M,3,Y,2,No,L,F,B,S,3
other,A,0,H,F,3,N,0,No,L,E,D,T,1
CA,A,0,H,F,3,N,0,X,L,E,A,U,1
CA,A,0,U,F,2,N,2,X,L,E,A,U,2
IL,A,0,U,M,1,N,0,No,L,F,A,U,2
CA,A,0,H,M,3,N,2,No,L,G,A,C,1
other,A,0,U,F,2,N,0,X,L,E,D,R,2
other,A,0,H,F,2,N,0,No,L,G,B,S,1
MI,A,0,H,M,3,N,0,No,L,D,B,C,2
other,A,0,U,M,3,N,0,No,L,F,D,R,2
TX,A,0,U,M,0,N,0,X,L,E,A,T,2
CA,A,0,U,F,3,N,3,No,L,F,A,C,2
TX,A,0,U,F,2,N,0,No,L,F,B,T,2
other,A,0,U,F,0,N,0,No,L,F,B,U,3
other,A,0,U,M,0,N,0,X,L,E,D,T,2
IL,A,0,U,M,2,N,0,X,L,F,B,R,2
IL,A,0,U,F,0,Y,2,No,L,F,A,U,1
other,A,0,H,F,2,Y,3,No,L,F,D,R,3
other,A,0,H,M,3,Y,2,X,L,F,B,T,3
MI,B,0,H,F,2,N,1,X,L,F,B,S,2
WI,A,0,H,F,2,N,1,No,L,F,D,T,2
MO,A,0,U,F,2,N,2,No,L,G,D,R,2
TX,A,0,H,F,3,N,0,No,L,F,A,S,1
FL,A,0,H,F,3,Y,2,X,L,E,B,S,2
other,A,0,H,M,2,N,0,X,L,D,D,T,2
CA,A,0,H,other,2,N,0,X,L,E,A,U,4
other,A,0,H,F,2,N,1,No,L,F,C,R,2
other,A,0,H,M,3,N,1,No,L,F,A,R,2
WA,A,0,H,M,3,N,0,No,L,G,A,T,2
CA,A,0,U,other,2,N,0,No,L,F,A,S,1
CA,A,0,U,F,0,N,0,No,L,F,A,U,3
CA,A,0,H,F,3,N,2,X,L,F,B,C,3
CA,A,0,U,F,0,N,0,X,L,E,A,U,1
MO,A,0,H,F,2,N,0,No,L,G,B,C,3
FL,A,0,H,M,3,Y,2,No,L,G,B,C,1
other,A,0,U,F,0,N,0,X,L,D,D,S,1
CA,A,0,U,F,0,N,0,No,L,F,A,S,1
other,A,0,U,M,0,N,1,No,L,G,B,U,1
other,A,0,U,M,2,N,2,X,L,D,A,S,2
other,A,0,U,M,0,N,0,X,L,E,D,C,3
TX,A,0,H,M,2,N,0,No,L,F,C,C,2
other,A,0,H,F,3,N,2,X,L,F,A,T,2
MI,A,0,U,M,3,N,0,X,L,E,A,S,2
other,A,0,U,F,2,N,0,X,L,E,D,R,2
other,A,0,H,M,3,Y,3,No,L,E,B,S,2
IL,A,0,U,M,2,N,0,X,L,F,A,R,2
CA,A,0,U,M,0,N,0,No,L,E,A,S,2
NC,A,0,U,F,3,Y,3,No,L,F,C,R,3
other,A,0,U,F,0,N,3,No,L,D,D,R,2
CA,A,0,U,M,2,N,0,X,L,G,A,C,3
TX,A,0,U,F,2,N,1,X,L,F,A,S,1
CA,A,0,H,F,3,N,0,X,L,E,B,U,1
IL,A,0,U,M,0,N,0,No,L,F,A,S,2
MO,A,0,H,F,3,Y,2,X,L,E,D,T,1
TX,A,0,H,M,3,N,0,No,L,F,A,U,3
TX,A,0,U,F,0,N,0,No,L,F,B,C,3
IL,A,0,H,F,3,N,0,X,L,G,A,S,1
other,A,0,H,M,3,N,0,No,L,F,B,S,1
CA,A,0,U,F,0,N,0,No,L,F,A,U,1
NC,A,0,U,M,0,N,0,No,L,G,D,R,2
other,A,0,U,M,3,N,2,No,L,F,D,R,2
MI,A,0,H,M,2,N,0,No,L,E,A,R,2
WA,A,0,H,M,3,N,0,X,L,D,A,R,2
FL,A,0,H,F,3,N,2,X,L,G,A,R,2
CA,B,0,H,M,3,N,2,X,L,E,A,R,3
WA,A,0,U,F,3,N,0,No,L,F,C,T,2
CA,A,0,H,other,2,N,0,No,L,G,B,C,3
other,A,0,H,M,2,N,0,X,L,F,D,T,2
WI,A,0,U,M,0,N,0,X,L,F,B,T,2
other,A,0,H,F,3,N,0,No,L,F,D,T,2
NC,A,0,U,F,0,N,0,No,L,F,C,C,3
other,A,0,U,F,2,N,0,X,L,G,A,S,1
TX,A,0,U,F,2,Y,2,No,L,F,A,S,1
other,A,0,U,M,1,N,2,No,L,G,A,S,2
WA,A,0,H,F,3,N,2,No,L,F,C,C,1
TX,A,0,U,F,0,N,0,No,L,F,B,S,1
CA,A,0,H,M,3,N,3,X,L,E,A,U,1
CA,A,0,U,other,3,N,0,No,L,F,A,U,4
CA,A,0,U,F,0,N,0,No,L,F,B,C,3
other,A,0,U,F,0,N,0,X,L,E,B,U,2
TX,A,0,U,F,0,N,0,No,L,G,C,T,2
IN,A,0,H,other,2,N,2,X,L,G,C,T,2
CA,A,0,H,M,3,N,0,No,L,F,A,U,1
other,A,0,H,M,3,N,3,No,L,G,B,S,1
CA,A,0,H,F,3,N,0,No,L,G,A,U,1
CA,A,0,H,F,3,Y,2,No,L,E,A,C,3
other,A,0,H,F,3,Y,2,No,L,F,B,T,1
CA,A,0,U,M,0,N,1,X,L,E,A,T,1
MO,A,0,U,M,3,N,3,No,L,F,D,R,2
CA,A,0,H,M,3,N,0,No,L,F,A,C,2
FL,A,0,U,F,0,N,0,X,L,F,B,S,2
other,A,0,H,F,2,N,1,X,L,E,D,R,2
MI,A,0,H,M,3,N,0,X,L,E,A,R,2
IN,A,0,H,F,3,N,0,No,L,G,C,C,3
other,A,0,H,F,3,Y,3,No,L,F,B,S,3
WA,A,0,H,M,3,N,0,X,L,F,A,U,3
FL,A,0,U,F,0,N,0,No,L,G,B,T,1
other,A,0,U,F,2,N,2,X,L,E,A,R,2
IN,A,0,U,F,3,N,1,No,L,F,D,C,2
other,A,0,H,other,2,Y,2,No,L,F,D,R,2
WI,A,0,H,M,3,N,1,X,L,F,B,T,2
other,A,0,H,M,2,Y,2,X,L,F,A,R,2
CA,A,0,U,F,0,N,0,No,L,F,A,S,1
CA,A,0,H,F,2,Y,3,X,L,E,C,C,2
other,A,0,H,F,2,N,0,X,L,E,C,T,2
CA,A,0,U,M,0,N,2,No,L,G,B,C,1
FL,A,0,H,F,3,N,2,No,L,F,B,C,3
WI,A,0,H,M,3,N,1,No,L,G,B,S,1
other,A,0,U,other,2,N,0,No,L,G,D,R,3
other,A,0,H,F,1,N,0,X,L,E,C,T,1
TX,A,0,U,M,0,N,0,X,L,F,A,S,2
IL,A,0,U,F,0,N,0,No,L,E,D,T,2
IL,A,0,H,M,3,Y,3,X,L,E,A,S,2
other,A,0,H,F,3,N,0,X,L,F,B,U,1
other,A,0,H,M,2,N,2,X,L,F,C,C,3
CA,A,0,U,F,0,N,0,X,L,G,A,C,1
MI,A,0,U,M,0,N,0,X,L,G,C,T,2
other,A,0,U,F,0,N,0,No,L,E,B,T,3
other,A,0,H,M,3,N,0,No,L,F,B,S,1
TX,A,0,H,F,3,N,0,X,L,E,A,T,2
other,A,0,H,F,2,Y,3,X,L,E,B,R,1
CA,A,0,H,F,2,N,2,No,L,G,D,T,2
other,A,0,U,M,0,N,2,X,L,F,A,T,2
other,A,0,H,F,3,Y,2,No,L,F,C,R,3
TX,A,0,H,M,2,N,2,No,L,F,A,S,1
CA,A,0,U,F,0,N,0,No,L,F,A,U,1
other,A,0,H,M,3,N,0,No,L,F,D,T,2
IL,A,0,H,F,2,N,2,X,L,E,A,U,2
MI,A,0,U,F,0,N,0,X,L,F,C,T,2
TX,A,0,U,F,0,N,0,No,L,D,C,R,2
GA,A,0,U,F,0,N,0,X,L,E,D,R,2
other,A,0,H,M,2,Y,2,No,L,F,C,C,2
GA,A,0,U,F,0,N,0,X,L,E,D,T,2
TX,A,0,H,F,3,Y,2,X,L,F,B,S,3
other,A,1,H,F,2,N,0,X,L,E,D,R,2
other,A,0,H,F,2,N,2,X,L,D,D,R,3
WI,A,0,H,F,2,Y,3,X,L,E,D,R,3
WA,A,0,U,F,1,N,2,No,L,F,A,U,1
TX,A,0,U,other,3,N,0,X,L,F,D,R,2
other,A,0,U,M,0,N,0,No,L,F,B,S,3
CA,A,0,H,F,3,Y,2,No,L,F,A,C,2
MI,A,0,H,F,2,N,0,No,L,G,A,S,1
GA,A,0,U,M,3,N,3,No,L,F,A,S,1
other,A,0,U,F,0,N,0,No,L,F,B,S,2
FL,A,0,H,other,3,N,0,No,L,F,A,S,2
CA,A,0,U,F,2,N,0,No,L,E,A,T,2
CA,A,0,H,F,2,N,1,X,L,G,A,S,1
other,A,0,H,F,3,Y,3,No,L,F,B,T,2
WA,A,0,H,F,3,N,3,X,L,F,B,C,3
CA,A,0,U,M,0,N,0,X,L,F,A,U,3
other,A,0,U,F,3,N,1,X,L,E,C,R,2
CA,A,0,U,F,0,N,0,X,L,G,A,U,1
other,A,0,U,F,3,N,1,X,L,F,D,R,2
WA,A,0,H,M,2,N,3,X,L,F,D,R,2
NC,A,0,U,M,0,Y,2,No,L,F,D,R,3
NC,A,0,U,F,0,Y,2,No,L,F,C,T,2
WA,A,0,H,F,2,Y,2,X,L,D,A,C,2
CA,A,0,H,M,2,N,1,X,L,F,A,T,1
CA,A,0,H,F,2,Y,2,X,L,F,B,S,1
IL,A,0,H,M,1,N,1,X,L,G,A,S,1
other,A,0,H,M,2,N,1,No,L,G,B,C,1
FL,A,0,U,M,3,N,0,No,L,F,B,T,2
WA,A,0,H,F,3,N,0,X,L,E,A,U,1
WA,A,0,U,F,0,N,0,X,L,F,A,U,3
MI,A,0,H,M,2,N,0,No,L,F,A,S,1
TX,A,0,U,M,3,N,0,X,L,F,D,R,2
other,A,0,H,F,2,N,0,No,L,F,B,T,2
other,A,0,U,M,0,N,0,X,L,D,D,R,3
WI,A,0,U,M,3,N,1,X,L,F,D,R,2
other,A,0,H,F,3,N,0,X,L,E,B,S,2
other,A,0,H,F,2,N,2,X,L,E,B,S,2
MI,A,0,U,F,2,N,0,X,L,F,A,T,2
other,A,0,U,other,3,N,2,X,L,F,B,T,1
CA,A,0,H,M,1,N,0,X,L,E,A,C,2
MO,A,0,U,M,3,Y,2,X,L,F,D,T,2
GA,A,0,U,M,0,N,0,No,L,F,A,R,2
MI,A,0,H,F,3,Y,3,X,L,D,C,R,2
WI,A,0,H,F,3,N,3,X,L,F,B,U,1
other,A,0,U,F,2,N,0,No,L,G,C,C,3
WA,A,0,H,M,3,Y,3,No,L,F,D,R,2
other,A,0,H,M,2,N,1,No,L,F,B,T,3
other,A,0,H,M,2,N,0,No,L,G,C,T,1
CA,A,0,U,M,3,N,0,X,L,E,A,U,1
MO,A,0,U,M,1,N,2,No,L,G,C,T,2
NC,A,1,U,F,0,N,0,X,L,F,B,R,2
NC,A,0,U,F,1,N,0,No,L,F,C,T,1
GA,A,0,H,F,3,N,3,X,L,F,C,T,2
other,A,0,U,M,2,N,0,No,L,F,C,C,2
other,A,0,U,M,0,Y,2,No,L,F,C,T,2
IL,A,0,H,M,1,N,2,No,L,F,A,S,1
TX,A,0,H,F,2,Y,2,No,L,F,A,S,2
other,A,0,U,M,1,Y,3,No,L,F,A,S,2
FL,A,0,H,M,3,N,2,X,L,D,B,C,2
other,A,0,U,F,3,Y,3,No,L,G,C,R,2
CA,A,0,U,F,0,N,0,No,L,F,B,S,1
CA,A,0,U,F,0,N,0,X,L,F,B,S,1
IL,A,0,H,M,3,N,0,X,L,D,D,T,2
CA,A,0,H,F,2,N,2,X,L,D,A,U,1
CA,A,0,H,F,1,N,0,No,L,F,A,U,1
IL,A,0,U,F,2,N,1,X,L,E,B,R,2
WI,A,0,U,M,2,N,1,No,L,F,D,R,2
MO,A,0,H,F,2,N,0,No,L,G,A,S,2
other,A,0,H,F,2,Y,2,X,L,E,D,R,3
FL,A,0,H,F,3,N,2,X,L,G,B,C,1
CA,A,0,H,F,2,N,0,X,L,G,A,S,1
other,A,0,U,M,2,N,1,X,L,E,D,R,2
CA,A,0,H,F,3,N,0,No,L,G,A,S,1
CA,A,0,H,F,2,N,2,No,L,F,A,S,1
other,A,0,U,M,2,N,2,No,L,F,B,S,2
other,A,0,U,M,2,N,1,X,L,E,D,R,2
IL,A,0,H,M,3,N,2,X,L,E,D,R,2
CA,A,0,H,M,3,N,0,No,L,F,B,R,2
CA,A,0,H,F,3,Y,2,X,L,E,A,U,1
TX,A,0,H,M,3,N,0,X,L,E,A,T,1
MI,A,0,U,F,0,N,0,X,L,F,A,S,2
other,A,0,H,F,2,Y,3,No,L,G,D,R,2
CA,A,0,U,F,0,N,0,No,L,F,A,U,4
other,A,0,U,F,1,N,1,X,L,D,B,R,3
TX,A,0,H,F,3,N,0,X,L,F,A,S,2
other,A,0,H,M,2,N,0,X,L,D,C,C,2
CA,A,1,H,M,2,N,0,No,L,F,B,R,2
other,A,0,U,F,2,N,0,No,L,F,D,R,3
CA,A,0,U,F,0,N,0,X,L,E,A,U,3
IL,A,0,H,M,3,N,2,X,L,E,A,R,2
CA,A,0,U,M,0,N,0,No,L,G,A,S,1
MI,A,0,U,M,3,N,0,X,L,F,B,T,1
other,A,0,U,M,0,N,0,X,L,E,D,R,3
CA,A,0,H,F,3,N,0,No,L,G,A,U,2
other,A,0,H,M,3,Y,2,X,L,F,B,T,1
other,A,0,H,F,3,N,0,X,L,F,D,R,2
GA,A,0,H,F,3,N,3,X,L,E,D,R,2
other,A,0,U,M,2,N,0,X,L,E,D,R,2
IL,A,0,U,F,0,N,0,X,L,E,A,R,2
other,A,0,U,F,2,N,0,No,L,F,C,C,2
other,A,0,U,M,0,N,0,No,L,E,A,S,3
MO,A,0,H,F,3,N,0,No,L,F,B,S,2
other,A,0,U,F,3,N,0,No,L,F,B,S,1
TX,A,0,H,M,2,Y,2,No,L,F,B,S,2
MI,A,0,H,F,3,N,2,No,L,G,D,T,2
other,A,0,U,M,0,N,0,No,L,F,C,T,1
other,A,0,U,F,0,N,0,No,L,F,B,R,2
IL,A,0,U,F,2,N,0,X,L,F,A,C,1
other,A,0,U,M,2,N,0,X,L,D,B,T,2
WA,A,0,H,M,3,Y,2,X,L,F,C,R,3
NC,A,0,H,F,3,N,2,X,L,F,D,T,2
other,A,0,U,F,3,N,0,X,L,D,B,T,2
IN,A,0,H,M,3,Y,3,No,L,F,A,C,3
CA,A,0,H,M,3,N,3,No,L,F,A,S,2
TX,A,0,U,M,2,N,0,No,L,G,C,S,2
WA,A,0,H,M,3,N,1,No,L,G,C,T,2
TX,A,0,H,F,2,N,2,No,L,F,C,T,1
IL,A,0,H,F,2,N,0,X,L,D,A,T,1
TX,A,0,H,M,3,N,3,X,L,E,A,S,2
MO,A,0,H,F,3,N,0,No,L,F,A,R,2
other,A,0,U,F,2,N,0,X,L,G,C,R,2
other,A,0,H,M,3,N,2,X,L,E,B,T,2
CA,A,0,U,F,0,N,0,No,L,F,A,U,4
FL,A,0,U,F,0,N,0,X,L,F,B,C,2
FL,A,0,U,M,0,N,0,No,L,F,A,U,4
other,A,0,U,M,0,N,0,X,L,F,B,T,2
CA,A,0,H,M,2,N,0,No,L,F,A,S,1
FL,A,0,U,F,1,N,2,No,L,E,B,C,3
other,A,0,U,F,0,N,0,No,L,G,B,S,1
other,A,0,U,F,0,N,0,No,L,D,D,R,2
CA,A,0,H,F,2,N,0,X,L,G,A,C,1
CA,A,0,U,F,0,N,0,No,L,F,B,S,2
WA,A,0,U,F,0,N,0,X,L,D,C,C,2
GA,A,0,H,M,3,N,3,X,L,F,B,C,2
FL,A,0,H,M,3,N,2,No,L,F,A,U,4
CA,A,0,H,F,3,Y,2,No,L,F,A,U,4
CA,A,0,H,M,2,N,0,X,L,G,C,R,2
WA,A,0,H,M,3,N,0,X,L,F,A,C,3
CA,A,0,H,M,3,N,0,No,L,F,B,C,2
FL,A,0,U,F,0,N,0,X,L,G,C,C,3
CA,A,0,U,F,0,N,0,No,L,F,A,S,1
other,A,0,U,F,2,N,0,No,L,F,C,T,2
other,A,0,U,F,0,Y,3,No,L,E,D,R,2
FL,A,0,H,F,3,N,0,No,L,F,A,T,1
CA,A,0,H,M,3,N,0,No,L,F,A,U,1
FL,A,0,U,F,0,N,0,No,L,F,B,C,1
other,A,0,U,F,0,N,0,No,L,F,D,T,1
WI,A,0,U,F,0,N,0,X,L,F,D,T,1
FL,A,0,H,M,2,N,0,No,L,F,B,R,2
other,A,0,U,M,0,N,1,No,L,F,D,R,2
other,A,0,H,F,3,N,0,No,L,F,B,S,1
other,A,0,U,M,0,N,0,No,L,F,C,C,2
FL,A,0,U,M,0,N,0,X,L,F,B,T,1
other,A,0,U,M,3,N,0,No,L,F,D,R,2
other,A,0,H,M,1,N,0,X,L,F,D,T,2
MI,A,0,U,M,3,N,0,X,L,F,A,U,2
other,A,0,U,M,0,N,0,X,L,E,D,T,1
MI,A,0,H,F,3,Y,3,X,L,E,A,S,2
MI,A,0,U,F,3,N,0,No,L,F,D,R,3
other,A,0,U,F,0,N,0,No,L,E,A,U,4
CA,A,0,H,F,2,N,0,X,L,G,A,C,1
other,A,0,U,F,0,N,0,No,L,F,D,R,2
other,A,0,H,M,3,N,0,No,L,F,B,S,1
other,A,0,U,M,1,N,2,X,L,E,C,T,2
NC,A,0,H,M,3,N,0,No,L,F,B,T,1
other,A,0,U,F,0,N,1,X,L,D,B,S,1
GA,A,0,H,F,2,N,0,No,L,F,B,T,1
IL,A,0,H,M,2,N,0,X,L,E,A,S,1
NC,A,0,U,F,0,N,0,No,L,F,C,T,2
TX,A,0,H,M,2,Y,2,No,L,G,C,T,2
MI,A,0,H,M,3,N,1,No,L,E,D,T,3
FL,A,0,U,M,0,N,0,No,L,F,A,S,2
other,A,0,H,M,3,N,2,No,L,G,D,R,2
CA,A,0,H,F,2,Y,2,No,L,G,A,U,1
FL,A,0,U,M,0,N,1,No,L,F,A,C,2
other,A,0,U,F,1,N,0,No,L,F,A,T,2
